#{"t_start": 1777552346.8337939, "env_id": "None"}
r,l,t
142.66245,50,6.789617
233.51135,59,7.742418
517.2494,84,10.366492
541.9983,97,11.830809
342.5254,99,12.079845
31.09935,18,13.830823
439.4722,75,14.955283
2.7518158,13,15.305769
714.63824,136,16.231337
321.3494,137,16.360037
772.8827,153,18.113936
152.29405,86,20.107898
445.7781,172,20.343293
394.52972,177,20.908294
870.05524,178,20.999246
607.0778,180,21.187598
873.2792,186,21.788546
903.723,187,21.880774
720.9172,132,22.262743
276.4759,75,23.188854
119.86879,90,26.050031
135.88432,81,27.03021
420.70328,110,27.510836
256.47812,141,27.746302
557.9941,243,28.113922
137.06679,79,28.944865
657.28296,122,29.756385
495.87408,86,30.274585
138.327,87,31.229726
85.07149,44,32.394741
80.197815,85,32.501763
142.42462,89,37.737166
288.03622,74,85.766547
862.4101,172,86.174644
914.1524,189,89.063782
941.16425,197,89.630424
632.4965,119,90.065422
231.61908,62,91.83506
457.281,173,92.324135
400.59103,150,94.981898
506.8497,86,95.110349
1092.577,241,95.571829
914.5465,196,95.803209
976.2172,251,97.127998
385.2655,205,97.25557
1010.495,224,100.566805
971.366,214,103.064591
378.42114,112,104.528842
893.83655,251,107.371883
596.687,159,107.501595
603.3673,151,108.405263
471.4439,176,108.941768
135.2589,67,110.591819
295.5357,123,110.68905
150.40787,53,113.098451
62.635483,26,113.431018
974.77075,251,113.542228
373.67255,157,114.170209
855.9349,177,114.290266
217.69278,95,114.920141
-17.86187,15,115.809666
921.4573,251,116.308352
-40.34391,4,116.706421
295.00043,83,117.117917
114.41586,80,117.318682
536.9223,212,117.94108
38.4075,22,118.979826
1020.78613,222,119.595614
544.8849,97,120.623922
534.7623,251,176.559266
852.73615,155,189.685181
826.3467,251,228.784631
754.98535,134,228.918739
626.408,151,289.758039
942.12036,251,352.011719
1015.03625,251,356.314158
575.4851,251,365.13229
1347.9211,251,373.858369
1420.6471,251,382.797628
1212.9973,251,396.277143
1163.9275,251,405.794543
454.68994,251,419.460749
952.824,251,424.306598
1032.6783,251,438.480543
1470.1898,251,458.297564
1181.2141,251,473.032625
1413.9514,251,514.099444
1007.8158,251,514.239415
995.72455,251,640.71817
1021.71716,251,707.474999
539.24963,251,711.849107
784.0927,251,720.645162
595.2484,251,725.502212
1313.821,251,738.445852
-9.988911,11,747.608906
805.16797,251,751.751818
1219.2931,251,760.461012
380.09344,251,769.628601
492.72974,251,778.281242
913.8913,251,787.360798
602.9132,251,809.016439
416.57275,251,822.360804
583.8331,251,858.295205
1110.552,251,862.315854
654.3843,168,911.383666
1144.9502,251,920.134594
741.8034,192,924.496922
334.0287,251,1038.091257
682.2911,251,1047.310374
558.6172,251,1078.382833
988.4831,251,1082.586286
1116.2251,251,1091.460929
419.04465,251,1100.597206
1041.8455,251,1109.708651
1300.8854,251,1119.26184
1128.9515,243,1129.278471
1271.7882,251,1158.850727
367.25317,251,1195.747519
