x,y,theta,v_cmd,w_cmd,dist_to_goal
6.592435633105824699e+00,3.389340773710565635e+00,1.505978125004807877e+00,4.879633644244962265e-01,-1.500000000000000777e-01,4.820727740488782942e+00
6.595654603082719447e+00,3.437479875666149542e+00,1.490911990293692035e+00,4.892342479457918447e-01,-1.000000000000000888e-01,4.773759093083158156e+00
6.599834579472427798e+00,3.485746248846761652e+00,1.481271755888661223e+00,4.801894201063720002e-01,-1.000000000000000888e-01,4.726409856819680400e+00
6.603958074219316465e+00,3.532598357402413569e+00,1.471649628613613592e+00,4.605425831850570861e-01,-1.000000000000000888e-01,4.680449817573205884e+00
6.608435563644171395e+00,3.577973332002528650e+00,1.463308651901724433e+00,4.538162609303866835e-01,-1.321987848768190199e-01,4.635813998966215266e+00
6.613244641177272953e+00,3.622507523005243701e+00,1.452143241905731186e+00,4.888451645483129493e-01,-9.665742360269369282e-02,4.591898388615458515e+00
6.619267174334634518e+00,3.668686629499120055e+00,1.443122810508976617e+00,4.859349904272875498e-01,-1.000000000000000888e-01,4.546064083286722735e+00
6.625467803510987075e+00,3.715854578295582300e+00,1.434026280955909449e+00,4.725625406988976929e-01,-9.402029283101193124e-02,4.499248909928837747e+00
6.631842284058387271e+00,3.762233959660992166e+00,1.424933600296137914e+00,4.666006287724444590e-01,-1.000000000000000888e-01,4.453146814146275112e+00
6.638536262396868004e+00,3.807705682634141109e+00,1.415947161657248765e+00,4.581184627050983171e-01,-7.484067698815266567e-02,4.407824310499042220e+00
6.645553274966519375e+00,3.852352446594676572e+00,1.409506632956248895e+00,4.569528467429921914e-01,-1.000000000000000888e-01,4.363199073870350553e+00
6.652704943663097836e+00,3.896454013968631891e+00,1.401461065585894339e+00,4.509356673018146688e-01,-9.705149008105062869e-02,4.319061660627689037e+00
6.660315462070701464e+00,3.940154610845159944e+00,1.391692345922850071e+00,4.811919437233653229e-01,-1.000000000000000888e-01,4.275172422839650821e+00
6.669090514916254264e+00,3.985408578599649143e+00,1.381882641330422601e+00,4.624593300732833256e-01,-5.787025227966874352e-02,4.229452013945443234e+00
6.677781356562641157e+00,4.030466395515181155e+00,1.376993672704511118e+00,4.531448099317332834e-01,-5.000000000000009992e-02,4.183952578386563204e+00
6.686304994696354420e+00,4.074119316827479409e+00,1.373738969017737510e+00,4.899082166901390090e-01,-5.000000000000009992e-02,4.139847063052798148e+00
6.695842851590034783e+00,4.119927572045646080e+00,1.369696472509967844e+00,4.724403499459913225e-01,-5.000000000000009992e-02,4.093383431089788083e+00
6.705102200872744334e+00,4.165556205173900572e+00,1.366764583141286904e+00,4.543958177495079354e-01,-6.149258876004537466e-02,4.047186618611129383e+00
6.714148463603919481e+00,4.209589664162125544e+00,1.362724515103276302e+00,4.924549668521722712e-01,-4.795702374010651914e-02,4.002577255678988699e+00
6.724015899047422806e+00,4.255369655178745880e+00,1.359840302156175129e+00,4.809340897714272645e-01,-8.795683182621616414e-02,3.956057613994000022e+00
6.733875948623563090e+00,4.301757510984949739e+00,1.353885432915451048e+00,4.296010284938619472e-01,-5.000000000000009992e-02,3.908972706611050008e+00
6.743145201487688922e+00,4.344850436171406649e+00,1.349593112103520731e+00,4.249558234653649236e-01,-4.546853990075033769e-02,3.865204046166227592e+00
6.752297568592816823e+00,4.385456913267704593e+00,1.346071408056610075e+00,4.135450901282075042e-01,-7.501096308403953916e-02,3.823830943332043653e+00
6.761384082887272662e+00,4.425161593055999987e+00,1.341065246730981153e+00,4.084552167261455979e-01,-5.000000000000009992e-02,3.783337022508954206e+00
6.770513881293861225e+00,4.464135337356738731e+00,1.337664139249518547e+00,3.452707595702749210e-01,-3.763256500334793975e-02,3.743524412718638672e+00
6.778770672880711778e+00,4.499336152743499184e+00,1.335085843374610670e+00,3.366374747692473246e-01,-4.532530942184737066e-02,3.707566377140794067e+00
6.786498466797129758e+00,4.531449077007304815e+00,1.332184838206716959e+00,3.226765449759980697e-01,-7.386811017089472964e-02,3.674701549306990334e+00
6.793920138121906760e+00,4.562502706167434141e+00,1.327434710868638179e+00,3.155279989191663303e-01,-5.000000000000009992e-02,3.642940608675098169e+00
6.801390134512293351e+00,4.592433027357667896e+00,1.324392063437515477e+00,3.095237729204657895e-01,-5.000000000000009992e-02,3.612226222523623687e+00
6.808726770185328014e+00,4.621847835069365473e+00,1.321487930498502106e+00,2.999999999999998779e-01,-4.546661072455993047e-02,3.582044661572299837e+00
6.816040626635237132e+00,4.650309974867380625e+00,1.318863610917874407e+00,2.499999999999998890e-01,-5.000000000000009992e-02,3.552771180677310348e+00
6.822353491986420160e+00,4.675775212612829357e+00,1.315619106016153728e+00,2.499999999999998890e-01,-5.000000000000009992e-02,3.526658721072377656e+00
6.828583246947280472e+00,4.699347279113023745e+00,1.312199474255918652e+00,2.499999999999998890e-01,-2.139095373154081825e-02,3.502360003373607533e+00
6.834778526326801718e+00,4.722786771279175788e+00,1.311033032820378752e+00,2.499999999999998890e-01,-3.775633703592073953e-02,3.478198905929893670e+00
6.840924270925747841e+00,4.746229933617414076e+00,1.309164028954477477e+00,2.499999999999998890e-01,-5.000000000000009992e-02,3.454052140691617812e+00
6.847213824617165656e+00,4.769703567210034301e+00,1.306160734829643788e+00,1.999999999999999001e-01,-3.528218972894375804e-02,3.429829589039280702e+00
6.852704051475563496e+00,4.790314695299319858e+00,1.303843183599390887e+00,1.999999999999999001e-01,-4.512886854086173294e-02,3.408572684968311339e+00
6.857915841590953576e+00,4.809058876197037868e+00,1.301379828366185043e+00,1.999999999999999001e-01,-3.535469459815859805e-02,3.389168257916064686e+00
6.862997625312551087e+00,4.827825678142973587e+00,1.299395622113408422e+00,1.999999999999999001e-01,-3.915992278456598141e-02,3.369786985596268103e+00
6.868250975778248169e+00,4.846541697837322360e+00,1.297225026909675893e+00,1.499999999999999112e-01,-3.113981685702393865e-02,3.350396262728575270e+00
6.872508917129499295e+00,4.862338598287331948e+00,1.295372288441468456e+00,1.499999999999999112e-01,-3.919016931118146641e-02,3.334089862878623745e+00
6.876524136547801369e+00,4.876383198094115023e+00,1.293459559369702916e+00,1.499999999999999112e-01,-5.000000000000009992e-02,3.319515015918502066e+00
6.880416890165385269e+00,4.890436204503970430e+00,1.290536330829064937e+00,1.499999999999999112e-01,-3.606890312069721549e-02,3.304974029865684226e+00
6.884493225850882858e+00,4.904507271420726511e+00,1.288221150796369008e+00,1.499999999999999112e-01,-4.919764981431401507e-02,3.290354174835852685e+00
6.888450860510036300e+00,4.918548468524936546e+00,1.285361953411392255e+00,1.499999999999999112e-01,-5.000000000000009992e-02,3.275802959631560540e+00
6.892668930438595964e+00,4.932650577122066338e+00,1.282426978449714650e+00,1.499999999999999112e-01,-4.061662938822396818e-02,3.261106342891258336e+00
6.896760523784034369e+00,4.946612051281752187e+00,1.279937864995476904e+00,9.999999999999992228e-02,-5.000000000000009992e-02,3.246585176344385815e+00
6.899960714470440237e+00,4.957911897697186099e+00,1.276377587908800848e+00,9.999999999999992228e-02,-5.000000000000009992e-02,3.234870391821088376e+00
6.902624811145104289e+00,4.967131419537745174e+00,1.273224721272370408e+00,9.999999999999992228e-02,-4.965070885434075265e-02,3.225294425547759136e+00
6.905557085951850915e+00,4.976526945067676344e+00,1.270295018095181971e+00,9.999999999999992228e-02,-1.110223024625156540e-16,3.215461802916029566e+00
6.908474031304055352e+00,4.985850228047790544e+00,1.269776413175630170e+00,9.999999999999992228e-02,-1.110223024625156540e-16,3.205702386076595189e+00
6.911358249196258186e+00,4.995129673664264303e+00,1.269777699869784948e+00,9.999999999999992228e-02,-1.110223024625156540e-16,3.195995391061455582e+00
6.914225587943689355e+00,5.004384105522654558e+00,1.269776131703346023e+00,9.999999999999992228e-02,8.293628479421610855e-04,3.186317727584857984e+00
6.917075431908078720e+00,5.013635987091253909e+00,1.269796023067792934e+00,9.999999999999992228e-02,-4.282047018764523205e-02,3.176648491377902506e+00
6.919915449097701732e+00,5.022975916285012943e+00,1.267524043352299179e+00,9.999999999999992228e-02,-4.190825832033456821e-02,3.166899908762017990e+00
6.922841433838659242e+00,5.032303546401222683e+00,1.265011965137338601e+00,9.999999999999992228e-02,-4.199075215251596438e-02,3.157133639451696450e+00
6.925763009789532632e+00,5.041597727993210043e+00,1.262690087675574002e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.147400373983484823e+00
6.927806521434833442e+00,5.047941594405378041e+00,1.262363888648249777e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.140739990116904412e+00
6.929257049353116926e+00,5.052552616223640491e+00,1.262360125587453474e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.135910800148833832e+00
6.930716679522551438e+00,5.057128168617034625e+00,1.262353037982351767e+00,4.999999999999993339e-02,1.176693475496537467e-03,3.131111852904429060e+00
6.932235143629216445e+00,5.061831550635030652e+00,1.262390805698128560e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.126172680026531925e+00
6.933627872981904083e+00,5.066350576483848123e+00,1.262378432536755080e+00,4.999999999999993339e-02,2.305160308610554321e-03,3.121449735840343020e+00
6.935177554373847642e+00,5.071049404793143367e+00,1.262451013258260257e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.116504200201222208e+00
6.936575262582006296e+00,5.075599123263319079e+00,1.262446898616463198e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.111750738733871646e+00
6.938089394712626756e+00,5.080233934878228830e+00,1.262448418505186298e+00,4.999999999999993339e-02,7.236316627906580479e-05,3.106877533579086137e+00
6.939553914962666603e+00,5.084868071392016908e+00,1.262449171861154795e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.102021931008983824e+00
6.941000301893764934e+00,5.089432444256982713e+00,1.262442984514443811e+00,4.999999999999993339e-02,3.090884435556884302e-03,3.097238101459585558e+00
6.942532430312461145e+00,5.094147473231092960e+00,1.262535585468427035e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.092283390679145150e+00
6.943914141123122441e+00,5.098668803203659117e+00,1.262530030039136664e+00,4.999999999999993339e-02,1.360021860435933760e-03,3.087562154001664894e+00
6.945461996356251611e+00,5.103350001992196461e+00,1.262574182936972989e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.082633875776938925e+00
6.946872109565253695e+00,5.107915276265883264e+00,1.262569460839691571e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.077861660774860120e+00
6.948372256022967264e+00,5.112539499917725827e+00,1.262570686868887959e+00,4.999999999999993339e-02,2.858077238504508344e-04,3.073003262516589285e+00
6.949850010910921583e+00,5.117192943038753938e+00,1.262578345492256560e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.068125083377363449e+00
6.951278892046533819e+00,5.121745111391205363e+00,1.262568078581578934e+00,4.999999999999993339e-02,3.923503220839674732e-03,3.063358804656674650e+00
6.952825267666692177e+00,5.126462490707861974e+00,1.262684524491850313e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.058397086276763766e+00
6.954203179743954522e+00,5.130984838924997682e+00,1.262682800690750007e+00,-2.000000000000000111e-01,5.860747566486801396e-04,3.053676306312749222e+00
6.954183244584045909e+00,5.130920307833698679e+00,1.262686384232788006e+00,-2.000000000000000111e-01,1.106717888046393483e-03,3.053743762320249466e+00
6.950047649234090130e+00,5.117787897686319809e+00,1.262661616226687267e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.067498417538679689e+00
6.945624961886458948e+00,5.103920544323026220e+00,1.262664976534577876e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.082042007272316475e+00
6.945423056287064689e+00,5.103270684116036016e+00,1.262692581071627185e+00,4.999999999999993339e-02,6.365669619339819896e-04,3.082721729204972227e+00
6.946824583580128554e+00,5.107806098385415439e+00,1.262698806239687332e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.077980510381403079e+00
6.948329074984995302e+00,5.112425348446942408e+00,1.262703828694922814e+00,4.999999999999993339e-02,1.625044867339942023e-04,3.073125298912115166e+00
6.949800800221739294e+00,5.117078177924549998e+00,1.262709050342779804e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.068249760272740989e+00
6.951241498846854938e+00,5.121629132755741054e+00,1.262701518624721908e+00,4.999999999999993339e-02,3.051895828667439137e-03,3.063480576589552751e+00
6.952780085650860364e+00,5.126347276295780020e+00,1.262795012934508687e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.058520806772793588e+00
6.954159860682927352e+00,5.130879295987242905e+00,1.262790365877314525e+00,-2.000000000000000111e-01,1.743356655083572182e-03,3.053790302427691561e+00
6.954145745762288833e+00,5.130831241069402360e+00,1.262821525443930559e+00,-2.000000000000000111e-01,1.558511098793680105e-04,3.053840285334265214e+00
6.950015197158109004e+00,5.117689137926594078e+00,1.262761116223942714e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.067602319699420654e+00
6.945590245534778440e+00,5.103817734449728860e+00,1.262774547903788402e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.082150490420497047e+00
6.945377646954385753e+00,5.103159876996928190e+00,1.262808660740701638e+00,4.999999999999993339e-02,2.629059391952015545e-04,3.082841385115997479e+00
6.946777896888623793e+00,5.107709282940398943e+00,1.262803683280862233e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.078087456598900928e+00
6.948286291544804705e+00,5.112321962827042654e+00,1.262813397071750110e+00,4.999999999999993339e-02,1.183194337303072885e-04,3.073237083422566851e+00
6.949750948184650667e+00,5.116979508865094672e+00,1.262817523742126413e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.068359532900730713e+00
6.951201114263305669e+00,5.121524891027565474e+00,1.262814287241659006e+00,4.999999999999993339e-02,1.599265201413624382e-03,3.063592344894535913e+00
6.952720980241720028e+00,5.126229031359302191e+00,1.262870465705189682e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.058652141945526814e+00
6.954117549675999932e+00,5.130772824215142691e+00,1.262860995754331750e+00,-2.000000000000000111e-01,4.045886690012823195e-03,3.053904825982316495e+00
6.954115637412858320e+00,5.130751304364076226e+00,1.262960582341286608e+00,-2.000000000000000111e-01,-1.110223024625156540e-16,3.053925699376584646e+00
6.949979295192324713e+00,5.117608274912694988e+00,1.262913185884541045e+00,4.999999999999993339e-02,-4.476386145746119594e-02,3.067690586968734312e+00
6.945700759066371965e+00,5.103517287716424988e+00,1.260722847463969565e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.082395009078304327e+00
6.945621198453066469e+00,5.102912813752150001e+00,1.260350058079132030e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.082990240314269048e+00
6.946991219326443812e+00,5.107410783269526355e+00,1.260346569247323245e+00,4.999999999999993339e-02,1.536020058428455570e-03,3.078294961325347856e+00
6.948536354128400205e+00,5.112064336164399592e+00,1.260395381045088747e+00,4.999999999999993339e-02,3.257294588904557919e-03,3.073393596180477250e+00
6.949974159942611251e+00,5.116664880775800839e+00,1.260495563643808437e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.068578771115360038e+00
6.951455632705322962e+00,5.121278087016816194e+00,1.260502293757402636e+00,4.999999999999993339e-02,4.561307923318158597e-03,3.063737120327877594e+00
6.952966160096972104e+00,5.125911705401548168e+00,1.260652347502700943e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.058866356519996277e+00
6.954384303805635881e+00,5.130485146216258840e+00,1.260655943353802488e+00,-2.000000000000000111e-01,1.127577831734116742e-03,3.054083770988207380e+00
6.954358371761420798e+00,5.130440041051327782e+00,1.260738445337747038e+00,-2.000000000000000111e-01,-1.110223024625156540e-16,3.054135028564868737e+00
6.950216038362685644e+00,5.117277495021173017e+00,1.260704758204685305e+00,4.999999999999993339e-02,8.130186589127008645e-04,3.067920371656073009e+00
6.945746090430015229e+00,5.103470418269481890e+00,1.260744388380261372e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.082423547094650385e+00
6.945583775791835279e+00,5.102794367919481822e+00,1.260738120839295151e+00,4.999999999999993339e-02,4.987339403683122008e-04,3.083114342419443599e+00
6.946953393996227355e+00,5.107302822104077045e+00,1.260745694839484843e+00,4.999999999999993339e-02,1.440096260418965990e-03,3.078409348579734139e+00
6.948498778750227700e+00,5.111948697779530981e+00,1.260798174619222944e+00,4.999999999999993339e-02,3.141931751629578606e-03,3.073515111813688083e+00
6.949932527781715663e+00,5.116557219810567325e+00,1.260897832146992803e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.068694178773352821e+00
6.951413278903891602e+00,5.121159185910567402e+00,1.260905226588241890e+00,4.999999999999993339e-02,3.761750153118081919e-03,3.063863336463653830e+00
6.952924956865117245e+00,5.125799610750366497e+00,1.261030129860211346e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.058985783477697229e+00
6.954339164314395916e+00,5.130379968518905542e+00,1.261028980190742166e+00,-2.000000000000000111e-01,-1.110223024625156540e-16,3.054198046683330947e+00
6.954316803454856810e+00,5.130330611090352377e+00,1.261059288623898933e+00,-2.000000000000000111e-01,-1.110223024625156540e-16,3.054252076889191425e+00
6.950155001522256626e+00,5.117163925522100421e+00,1.261026598575297530e+00,4.999999999999993339e-02,2.653475968484975134e-03,3.068047971127550788e+00
6.945705011257444106e+00,5.103371879275258927e+00,1.261138544919275573e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.082530193373782978e+00
6.945529490633552072e+00,5.102660816597529347e+00,1.261127981728045633e+00,4.999999999999993339e-02,1.517283286159631928e-03,3.083258406102678872e+00
6.946910544597325377e+00,5.107184343557693573e+00,1.261160472372436780e+00,4.999999999999993339e-02,2.739063558770959972e-04,3.078535337337876321e+00
6.948440556103537169e+00,5.111815595871195050e+00,1.261191939570246001e+00,4.999999999999993339e-02,2.521324042975670032e-03,3.073660100970941667e+00
6.949883050401064466e+00,5.116433406916130799e+00,1.261269401581950556e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.068827447834805433e+00
6.951363275372503203e+00,5.121029341169691662e+00,1.261279215588015701e+00,4.999999999999993339e-02,3.056209252979613655e-03,3.064002453432977280e+00
6.952879697703523654e+00,5.125677734797509544e+00,1.261392754020077556e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.059115789197957014e+00
6.954290019115378918e+00,5.130259690306494313e+00,1.261390687401830135e+00,-2.000000000000000111e-01,2.563724533551636764e-03,3.054327881744442585e+00
6.954288269680070300e+00,5.130216890479343483e+00,1.261508729563139752e+00,-2.000000000000000111e-01,-1.110223024625156540e-16,3.054368693956043934e+00
6.950134931578265451e+00,5.117053457966554753e+00,1.261506691383691647e+00,4.999999999999993339e-02,1.977296861729704869e-03,3.068158637703528591e+00
6.945684307096856358e+00,5.103205290345502299e+00,1.261601403000845334e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.082693817132042380e+00
6.945488468833302953e+00,5.102497727667469007e+00,1.261574225797819304e+00,4.999999999999993339e-02,1.577116125696109705e-03,3.083425690289245846e+00
6.946882452109099049e+00,5.107048867972392436e+00,1.261608099193578969e+00,4.999999999999993339e-02,8.151441413606352882e-05,3.078672249846605702e+00
6.948399053974589457e+00,5.111651330762314593e+00,1.261642274056814506e+00,4.999999999999993339e-02,1.614026978687288505e-03,3.073828652473759249e+00
6.949851155544738646e+00,5.116290430273986445e+00,1.261695003278697991e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.068972707281723444e+00
6.951325883285919716e+00,5.120866607515407232e+00,1.261706494252724742e+00,4.999999999999993339e-02,2.294570430526221561e-03,3.064168157067411524e+00
6.952848830815980818e+00,5.125533251463093798e+00,1.261796771612734069e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.059262110308266891e+00
6.954258671481795773e+00,5.130105022999456033e+00,1.261797484928050439e+00,-2.000000000000000111e-01,3.016944140195765289e-03,3.054483934347007157e+00
6.954253024301328523e+00,5.130076747903980383e+00,1.261903695176559426e+00,-2.000000000000000111e-01,-1.110223024625156540e-16,3.054512434105369767e+00
6.950101929959402014e+00,5.116896016389656410e+00,1.261899124927097438e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.068317867787626163e+00
6.945668246806018686e+00,5.103065628991672043e+00,1.261909731350929764e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.082830549304082624e+00
6.945453256177733792e+00,5.102339007773850632e+00,1.261875600413105314e+00,4.999999999999993339e-02,1.395680291128242878e-03,3.083586882313384070e+00
6.946858151868863906e+00,5.106897431476840943e+00,1.261904466812314718e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.078822863413932520e+00
6.948363341535261917e+00,5.111495467348487587e+00,1.261936226277750261e+00,4.999999999999993339e-02,8.726394798012071519e-04,3.073987328629578464e+00
6.949820751748511327e+00,5.116150575760744168e+00,1.261965888677524461e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.069114522976154724e+00
6.951294794168915381e+00,5.120714504723295590e+00,1.261977436135917952e+00,4.999999999999993339e-02,1.493871839641502941e-03,3.064321714841317768e+00
6.952795935084644441e+00,5.125379932036429054e+00,1.262041210738567010e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.059424274061073756e+00
6.954226268740320016e+00,5.129945009031589898e+00,1.262039554348794779e+00,-2.000000000000000111e-01,2.496809682331069258e-03,3.054645371917249719e+00
6.954218263098819186e+00,5.129925892105101859e+00,1.262125144218235517e+00,-2.000000000000000111e-01,-1.110223024625156540e-16,3.054666074392542452e+00
6.950044843142008766e+00,5.116737057264413302e+00,1.262121208253688120e+00,4.999999999999993339e-02,6.279185974996104314e-04,3.068486765225648671e+00
6.945642126693574170e+00,5.102909168946895946e+00,1.262143282926232901e+00,4.999999999999993339e-02,-1.110223024625156540e-16,3.082986507978135116e+00
6.945409508467075277e+00,5.102178739698189247e+00,1.262128527048762772e+00,4.999999999999993339e-02,1.288691498038063710e-03,3.083752448152871750e+00
