#{"t_start": 1776861072.4926016, "env_id": "None"}
r,l,t
-123.0,24,1063.412306
-221.0,122,1066.571455
-257.0,158,1068.501139
-128.0,129,1070.109123
-110.0,11,1071.999276
-94.0,95,1092.983158
-74.0,75,1093.295587
-242.0,243,1120.147997
-185.0,186,1124.926661
-227.0,228,1127.749283
-300.0,201,1134.926286
-167.0,168,1146.060653
-139.0,40,1147.652611
-203.0,204,1157.44967
-223.0,124,1163.554598
-333.0,334,1167.533001
-210.0,111,1181.824844
-204.0,205,1184.061774
-209.0,110,1191.743552
-212.0,213,1194.32225
-147.0,48,1199.319477
-600.0,600,1201.234306
-177.0,178,1201.553304
-274.0,175,1218.754876
-171.0,172,1222.028177
-130.0,131,1243.211237
-141.0,142,1244.457788
-78.0,79,1247.010078
-145.0,146,1247.639822
-221.0,122,1257.324031
-120.0,21,1263.936418
-222.0,223,1264.886264
-382.0,283,1271.537598
-219.0,120,1302.279355
-201.0,102,1304.225461
-481.0,382,1313.275009
-235.0,236,1322.357335
-261.0,262,1326.154531
-255.0,256,1328.051617
-91.0,92,1332.989263
-287.0,288,1335.48173
-238.0,139,1345.811998
-95.0,96,1356.263955
-90.0,91,1356.594875
-258.0,159,1383.001167
-231.0,232,1385.878574
-195.0,96,1386.51096
-138.0,139,1389.629407
-216.0,217,1390.548894
-105.0,6,1391.489062
-472.0,473,1413.909824
-93.0,94,1419.814433
-278.0,279,1422.885846
-238.0,139,1558.149422
-144.0,45,1565.83733
-262.0,163,1571.213595
-146.0,47,1572.818449
-314.0,215,1579.19793
-101.0,102,1580.779617
-222.0,223,1585.039739
-82.0,83,1591.927133
-456.0,357,1597.37475
-90.0,91,1599.88453
-167.0,68,1613.532531
-124.0,125,1618.648627
-249.0,150,1620.265213
-119.0,120,1623.086089
-317.0,318,1642.407823
-230.0,231,1652.851796
-206.0,207,1664.343212
-141.0,142,1666.823357
-241.0,242,1672.724933
-181.0,82,1678.320651
-222.0,223,1682.634733
-238.0,139,1685.358796
-63.0,64,1702.547552
-226.0,127,1703.852139
-212.0,113,1707.965142
-172.0,73,1708.295029
-298.0,299,1711.469932
-156.0,57,1720.445382
-186.0,187,1725.129385
-168.0,69,1733.082726
-378.0,379,1738.105592
-98.0,99,1739.394518
-234.0,135,1750.681941
-232.0,233,1751.677106
-157.0,58,1756.734955
-183.0,84,1760.005673
-153.0,54,1768.036008
-50.0,51,1776.198039
-129.0,130,1781.066075
-210.0,211,1787.773927
-150.0,51,1797.369416
-129.0,30,1797.369469
-249.0,250,1804.842998
-214.0,115,1812.718819
-473.0,374,1822.459729
-212.0,213,1824.389711
-93.0,94,1826.886715
-143.0,144,1842.921901
-339.0,240,1844.233843
-169.0,70,1849.30899
-125.0,126,1852.850828
-144.0,45,1857.102036
-143.0,44,1870.798548
-310.0,211,1871.438243
-288.0,189,1884.089901
-422.0,423,1885.67403
-147.0,148,1890.648237
-227.0,228,1894.419315
-247.0,148,1895.681136
-73.0,74,1914.130751
-251.0,152,1932.079999
-232.0,133,1936.550432
-121.0,22,1943.57487
-193.0,94,1943.914247
-243.0,244,1948.698933
-319.0,320,1953.633988
-272.0,273,1957.13518
-156.0,57,1975.105319
-128.0,129,1984.698177
-294.0,295,1989.121383
-116.0,117,1990.694721
-253.0,154,1992.286705
-139.0,40,2003.350305
-186.0,187,2007.753366
-193.0,94,2014.402869
-265.0,266,2016.257762
-109.0,10,2017.516309
-143.0,144,2020.701349
-217.0,118,2026.327175
-90.0,91,2036.375332
-283.0,184,2050.464824
-125.0,126,2057.500384
-117.0,118,2058.13852
-106.0,7,2060.446663
-600.0,600,2075.707652
-248.0,249,2082.441373
-95.0,96,2090.991806
-133.0,34,2093.416531
-274.0,275,2103.987461
-250.0,151,2105.890296
-236.0,237,2112.191391
-73.0,74,2114.656442
-123.0,124,2115.311353
-234.0,235,2125.468044
-367.0,368,2143.340976
-227.0,128,2146.141113
-208.0,109,2149.075817
-155.0,156,2153.195784
-231.0,132,2153.886401
-76.0,77,2170.664203
-147.0,148,2172.231511
-184.0,185,2173.824945
-182.0,83,2175.495799
-82.0,83,2179.570996
-334.0,335,2199.561932
-90.0,91,2199.561984
-99.0,100,2205.555017
-330.0,331,2248.713597
-340.0,341,2262.486888
-418.0,319,2277.393041
-259.0,260,2282.876142
-344.0,345,2289.922143
-370.0,371,2290.873114
-285.0,286,2291.206221
-237.0,138,2293.180137
-140.0,41,2304.081903
-323.0,324,2309.536472
-128.0,129,2318.694897
-253.0,254,2344.268742
-134.0,135,2347.501812
-261.0,262,2374.418073
-264.0,265,2376.686928
-392.0,293,2377.336204
-323.0,324,2397.243112
-384.0,285,2401.204275
-183.0,84,2404.132567
-208.0,209,2414.833011
-406.0,307,2417.797761
-235.0,236,2420.350863
-160.0,161,2428.350787
-212.0,113,2440.884629
-98.0,99,2446.822037
-271.0,272,2461.676491
-239.0,240,2477.719875
-229.0,230,2490.373053
-304.0,305,2494.057147
-237.0,238,2495.285144
-135.0,36,2506.639266
-103.0,4,2507.873284
-398.0,299,2534.324615
-162.0,163,2545.44557
-234.0,235,2551.365556
-279.0,180,2564.654886
-554.0,455,2571.52276
-301.0,302,2585.178977
-194.0,195,2595.373109
-439.0,440,2599.142762
-194.0,95,2601.05727
-91.0,92,2623.911647
-103.0,104,2633.439776
-600.0,600,2634.414084
-225.0,226,2635.05836
-405.0,306,2641.058659
-361.0,362,2664.484241
-168.0,169,2677.082433
-166.0,167,2687.552455
-210.0,211,2699.8957
-384.0,285,2724.328718
-403.0,404,2726.22061
-600.0,600,2773.601027
-373.0,374,2782.358831
-600.0,600,2829.474948
-331.0,332,2830.096502
-250.0,251,2852.094117
-539.0,440,2862.27421
-600.0,600,2865.807449
-600.0,600,2876.171486
-600.0,600,2888.425798
-264.0,265,2946.016304
-600.0,600,2971.088775
-132.0,133,3012.910562
-600.0,600,3018.628048
-600.0,600,3019.259223
-256.0,257,3026.850237
-600.0,600,3041.344819
-600.0,600,3054.863563
-106.0,7,3057.038714
-600.0,600,3065.039036
-600.0,600,3077.163362
-216.0,217,3131.63391
-600.0,600,3541.532446
-600.0,600,3547.001731
-600.0,600,3547.592006
-600.0,600,3554.851498
-281.0,282,3561.325874
-600.0,600,3568.910086
-600.0,600,3583.990383
-600.0,600,3603.739955
-600.0,600,3728.283661
-600.0,600,3733.971491
-600.0,600,3734.58552
-600.0,600,3742.123088
-600.0,600,3748.669278
-600.0,600,3756.57609
-600.0,600,3772.34199
-600.0,600,3792.898764
-241.0,242,3847.548316
-600.0,600,3915.530406
-600.0,600,3921.123215
-600.0,600,3921.75962
-600.0,600,3929.089523
-600.0,600,3935.531402
-600.0,600,3943.237568
-600.0,600,3978.851583
-600.0,600,4034.356491
-600.0,600,4103.473188
-600.0,600,4109.280294
-600.0,600,4109.955299
-600.0,600,4117.735035
-600.0,600,4124.487343
-600.0,600,4132.667112
-600.0,600,4169.553613
-600.0,600,4225.737931
-600.0,600,4293.956132
-600.0,600,4299.497173
-600.0,600,4300.121216
-600.0,600,4307.450554
-600.0,600,4313.954814
-600.0,600,4321.820024
-600.0,600,4357.240663
-600.0,600,4411.450126
-600.0,600,4480.503638
-600.0,600,4486.20752
-600.0,600,4486.858871
-600.0,600,4494.675853
-600.0,600,4501.413545
-600.0,600,4509.370512
-600.0,600,4545.853046
-600.0,600,4601.404383
-600.0,600,4670.456534
-600.0,600,4676.176528
-600.0,600,4676.798247
-600.0,600,4684.423527
-600.0,600,4691.255368
-600.0,600,4699.35849
-600.0,600,4735.903369
-600.0,600,4792.069138
-600.0,600,4859.823333
-600.0,600,4865.470888
-600.0,600,4866.110514
-600.0,600,4873.634128
-600.0,600,4880.187282
-600.0,600,4888.017175
-600.0,600,4923.83391
-600.0,600,4979.359807
-363.0,364,5038.364679
-600.0,600,5384.614388
-600.0,600,5389.983226
-600.0,600,5390.608253
-600.0,600,5397.969096
-600.0,600,5404.431916
-600.0,600,5411.943241
-600.0,600,5510.551372
-439.0,440,5543.910422
-600.0,600,5573.434122
-600.0,600,5584.035681
-600.0,600,5590.089738
-600.0,600,5590.715146
-600.0,600,5605.29411
-600.0,600,5613.580054
-600.0,600,5721.036865
-364.0,365,5741.460922
-600.0,600,5762.831982
-600.0,600,5798.806751
-600.0,600,5809.893268
-600.0,600,5816.554248
-600.0,600,5817.340302
-600.0,600,5845.486355
-600.0,600,5960.088838
-600.0,600,5978.833884
-600.0,600,6001.842942
-600.0,600,6038.015178
-600.0,600,6052.680116
-600.0,600,6062.254465
-600.0,600,6063.212425
-600.0,600,6095.185044
-600.0,600,6245.017493
-600.0,600,6267.356807
-600.0,600,6291.957542
-600.0,600,6328.594002
-600.0,600,6342.974259
-600.0,600,6351.492595
-600.0,600,6352.527619
-600.0,600,6383.431688
-600.0,600,6515.55534
-600.0,600,6536.806877
-600.0,600,6559.555572
-600.0,600,6596.739721
-600.0,600,6609.877877
-600.0,600,6617.347123
-600.0,600,6618.176593
-600.0,600,6647.365211
-452.0,453,6763.918144
-600.0,600,6785.462203
-600.0,600,6808.326859
-600.0,600,6875.306962
-600.0,600,6890.291433
-600.0,600,6899.117026
-600.0,600,6899.996073
-600.0,600,6933.882889
-600.0,600,7053.26509
-600.0,600,7073.594927
-600.0,600,7095.972225
-600.0,600,7160.078493
-600.0,600,7174.363055
-600.0,600,7182.536899
-600.0,600,7183.436076
-600.0,600,7213.458943
-600.0,600,7323.442984
-600.0,600,7343.009361
-600.0,600,7363.927374
-600.0,600,7426.98691
-600.0,600,7441.096402
-600.0,600,7449.341339
-600.0,600,7450.405704
-600.0,600,7481.778178
-330.0,331,7512.965085
-600.0,600,7997.535227
-600.0,600,8017.01627
-600.0,600,8098.380174
-600.0,600,8111.617018
-600.0,600,8119.129852
-600.0,600,8120.014181
-600.0,600,8149.820789
-600.0,600,8180.351893
-600.0,600,8254.193557
-600.0,600,8272.039258
-600.0,600,8345.501333
-600.0,600,8358.546868
-600.0,600,8367.276167
-600.0,600,8368.130373
-600.0,600,8398.289456
-600.0,600,8428.203223
-600.0,600,8500.76007
-101.0,2,8501.634015
-600.0,600,8518.631708
-600.0,600,8591.923604
-600.0,600,8603.948996
-600.0,600,8610.940923
-600.0,600,8611.711488
-108.0,9,8615.225018
-600.0,600,8639.309017
-600.0,600,8667.229937
-600.0,600,8736.352916
-600.0,600,8753.270102
-600.0,600,8824.599891
-600.0,600,8836.407896
-600.0,600,8843.424479
-600.0,600,8847.636344
-600.0,600,8871.866649
-600.0,600,8900.612128
-600.0,600,8970.112583
-600.0,600,8986.301945
-600.0,600,9057.991409
-600.0,600,9069.797527
-600.0,600,9076.618948
-600.0,600,9081.009281
-600.0,600,9104.039371
-600.0,600,9131.018565
-600.0,600,9198.432203
-600.0,600,9214.837126
-600.0,600,9286.049862
-600.0,600,9297.821294
-600.0,600,9304.786474
-600.0,600,9309.005942
-600.0,600,9332.222771
-600.0,600,9359.395494
-125.0,126,9406.59046
-600.0,600,9426.265995
-600.0,600,9442.183999
-600.0,600,9512.726215
-600.0,600,9524.427608
-600.0,600,9531.244425
-600.0,600,9535.33459
-600.0,600,9557.765829
-600.0,600,9630.404148
-600.0,600,9649.821576
-600.0,600,9665.662182
-600.0,600,9735.918853
-600.0,600,9747.466932
-600.0,600,9754.042881
-600.0,600,9758.217516
-600.0,600,9780.789058
-600.0,600,9853.589013
-600.0,600,9873.084382
-600.0,600,9888.976423
-600.0,600,10342.52614
-600.0,600,10353.692892
-600.0,600,10360.305012
-600.0,600,10364.381712
-600.0,600,10386.83325
-600.0,600,10460.070499
-600.0,600,10479.656771
-600.0,600,10495.79289
-600.0,600,10565.950923
-600.0,600,10577.583187
-600.0,600,10584.293267
-600.0,600,10588.528839
-600.0,600,10612.129289
-600.0,600,10686.769908
-600.0,600,10706.731251
-600.0,600,10723.186798
-600.0,600,10793.760764
-600.0,600,10805.347341
-600.0,600,10812.067149
-600.0,600,10816.158372
-600.0,600,10838.995735
-600.0,600,10912.195126
-600.0,600,10931.688584
-600.0,600,10948.052679
-600.0,600,11018.683825
-600.0,600,11030.496937
-600.0,600,11037.39678
-600.0,600,11041.57537
-600.0,600,11064.743692
-600.0,600,11139.506893
-600.0,600,11158.723544
-102.0,3,11159.94099
-600.0,600,11174.721628
-600.0,600,11244.089453
-600.0,600,11255.392461
-600.0,600,11262.036704
-600.0,600,11266.112571
-600.0,600,11288.55481
-600.0,600,11361.587021
-600.0,600,11381.806055
-600.0,600,11396.69224
-600.0,600,11464.875844
-600.0,600,11476.108379
-600.0,600,11482.751748
-600.0,600,11486.741251
-600.0,600,11508.74641
-600.0,600,11582.027802
-600.0,600,11602.694169
-600.0,600,11617.791727
-600.0,600,11687.815325
-600.0,600,11699.442678
-600.0,600,11706.227463
-600.0,600,11710.400548
-600.0,600,11733.436645
-600.0,600,11806.456838
-507.0,508,11807.581101
-600.0,600,11826.989003
-356.0,357,11832.397683
-600.0,600,11909.561643
-600.0,600,11927.685405
-600.0,600,11931.856556
-600.0,600,11954.62277
-600.0,600,12027.901354
-600.0,600,12029.014904
-600.0,600,12048.324886
-600.0,600,12053.971571
-600.0,600,12133.040783
-600.0,600,12531.005715
-600.0,600,12534.864219
-600.0,600,12555.987702
-600.0,600,12627.450577
-600.0,600,12628.575768
-600.0,600,12647.494479
-600.0,600,12652.989357
-600.0,600,12732.596519
-600.0,600,12751.000075
-600.0,600,12755.099183
-600.0,600,12778.007919
-600.0,600,12851.763914
-600.0,600,12852.898707
-600.0,600,12872.261746
-600.0,600,12877.816675
-600.0,600,12956.812021
-600.0,600,12975.177152
-600.0,600,12979.333104
-600.0,600,13002.278527
-600.0,600,13077.172179
-600.0,600,13078.297045
-600.0,600,13097.918623
-600.0,600,13103.640919
-600.0,600,13183.595427
-600.0,600,13201.941571
-600.0,600,13206.295889
-600.0,600,13229.247613
-600.0,600,13302.530124
-600.0,600,13303.673636
-600.0,600,13323.36053
-600.0,600,13329.010595
-600.0,600,13408.290684
-600.0,600,13426.797471
-600.0,600,13431.050503
-600.0,600,13454.32017
-600.0,600,13528.714035
-600.0,600,13529.905219
-600.0,600,13550.666256
-600.0,600,13557.613177
-600.0,600,13647.387935
-600.0,600,13668.039541
-600.0,600,13672.634715
-600.0,600,13697.981309
-600.0,600,13779.690976
-600.0,600,13780.962282
-600.0,600,13802.516831
-600.0,600,13808.506703
-600.0,600,13896.903215
-600.0,600,13917.316772
-600.0,600,13921.711559
-600.0,600,13948.034793
-600.0,600,14030.480483
-600.0,600,14031.792957
-600.0,600,14053.121129
-600.0,600,14059.58002
-600.0,600,14148.850255
-600.0,600,14168.144722
-600.0,600,14172.620472
-600.0,600,14197.314815
-600.0,600,14281.225674
-600.0,600,14282.654172
-600.0,600,14306.247219
-600.0,600,14312.937721
-600.0,600,14422.287901
-600.0,600,14445.995738
-600.0,600,14451.394823
-600.0,600,14484.984975
