#{"t_start": 1776861072.4926016, "env_id": "None"}
r,l,t
-121.0,22,5.710567
-150.0,51,7.718526
-129.0,30,7.802944
-91.0,92,10.305232
-98.0,99,10.780083
-103.0,104,11.083793
-112.0,113,11.66272
-86.0,87,16.152846
-194.0,95,18.441848
-146.0,47,19.891329
-246.0,247,21.345041
-203.0,204,21.930606
-174.0,175,23.128841
-164.0,65,24.355673
-307.0,308,25.596577
-222.0,223,27.005959
-160.0,61,27.523219
-419.0,320,30.008611
-105.0,6,30.439742
-192.0,193,31.924841
-151.0,152,32.393009
-216.0,217,36.470645
-190.0,91,36.739962
-181.0,182,37.118087
-155.0,56,40.617387
-126.0,127,40.89517
-201.0,202,40.984293
-197.0,198,41.244975
-268.0,269,44.34063
-177.0,78,46.515305
-174.0,75,46.853099
-86.0,87,52.692342
-269.0,270,72.890688
-149.0,150,73.204345
-320.0,221,75.441421
-225.0,226,80.377225
-196.0,97,86.900397
-168.0,69,98.193841
-143.0,44,102.946324
-186.0,187,103.834692
-85.0,86,109.929395
-164.0,65,122.726603
-153.0,54,138.447697
-129.0,130,140.73582
-307.0,308,146.725546
-316.0,317,149.255349
-176.0,177,151.063163
-250.0,151,154.390819
-299.0,300,168.912853
-208.0,109,171.040722
-345.0,346,180.651471
-116.0,117,203.870549
-327.0,228,209.151354
-188.0,189,210.956249
-216.0,217,211.884727
-257.0,258,228.519553
-207.0,108,241.943587
-202.0,203,241.94364
-103.0,4,243.248128
-353.0,254,247.918971
-72.0,73,251.013192
-240.0,141,255.065981
-167.0,168,255.372296
-162.0,63,261.657279
-440.0,441,283.276916
-236.0,137,290.452988
-298.0,299,303.12987
-191.0,192,314.883769
-218.0,219,318.898325
-215.0,216,321.973617
-254.0,255,341.028435
-185.0,186,341.343805
-325.0,326,344.791126
-184.0,185,348.176959
-102.0,103,373.067304
-236.0,237,377.275346
-223.0,224,392.219974
-281.0,182,398.282091
-268.0,169,401.1976
-261.0,262,427.649707
-111.0,112,434.564217
-146.0,147,439.786951
-154.0,55,445.543427
-411.0,412,449.677528
-270.0,271,464.350714
-120.0,121,473.650658
-230.0,231,475.887798
-155.0,156,489.878102
-176.0,77,500.613179
-697.0,598,505.455498
-161.0,62,510.035687
-210.0,211,513.477881
-199.0,200,514.125546
-459.0,460,520.736414
-171.0,172,528.875161
-150.0,51,529.877826
-107.0,8,531.546415
-212.0,213,532.857143
-170.0,71,543.698415
-45.0,46,546.176563
-243.0,144,546.815257
-171.0,72,555.431332
-154.0,55,563.506705
-201.0,202,568.914014
-135.0,136,571.942521
-197.0,98,585.005326
-253.0,254,589.003045
-154.0,155,590.871623
-210.0,111,597.280028
-370.0,271,598.26776
-65.0,66,611.255635
-46.0,47,611.880234
-155.0,156,616.699459
-162.0,63,617.584894
-275.0,276,630.425612
-157.0,158,633.53043
-146.0,147,634.154705
-125.0,26,642.091868
-100.0,101,648.674014
-128.0,129,650.882492
-137.0,138,654.302646
-154.0,55,659.322909
-404.0,305,665.995126
-129.0,30,668.779017
-132.0,133,671.942548
-202.0,203,696.411464
-266.0,267,699.312851
-117.0,118,702.600204
-259.0,160,704.236245
-175.0,176,726.8777
-246.0,247,728.165141
-344.0,245,745.359537
-236.0,137,745.671823
-165.0,166,751.46594
-200.0,201,759.550584
-190.0,191,763.950542
-222.0,123,765.202973
-86.0,87,772.635002
-174.0,75,774.856106
-33.0,34,775.791975
-411.0,412,777.352072
-40.0,41,785.485924
-144.0,145,790.511023
-191.0,92,792.694127
-74.0,75,798.313489
-324.0,325,829.507963
-145.0,146,831.069261
-194.0,195,838.416564
-272.0,173,844.678375
-274.0,175,853.128036
-256.0,257,856.378253
-109.0,110,864.123004
-342.0,343,866.975328
-96.0,97,875.062513
-279.0,280,880.189873
-80.0,81,881.435528
-181.0,182,888.043606
-240.0,241,913.993921
-127.0,128,915.2692
-279.0,180,923.582871
-119.0,120,926.155346
-151.0,152,928.456688
-231.0,232,937.154473
-273.0,274,939.388297
-116.0,17,944.953838
-152.0,53,945.285525
-204.0,205,946.542374
-179.0,80,951.604412
-119.0,120,982.021433
-295.0,196,1005.869704
-291.0,292,1006.853087
-177.0,78,1006.853133
-298.0,299,1007.803905
-109.0,10,1009.074406
-241.0,242,1012.882408
-230.0,231,1018.727287
-59.0,60,1028.293404
-170.0,71,1029.628958
-394.0,295,1044.075073
-420.0,421,1055.888128
-252.0,153,1056.204291
-277.0,178,1063.101853
