#{"t_start": 1777519582.930414, "env_id": "None"}
r,l,t
-54.5,20,336.489277
-145.0,251,337.816833
-50.0,231,339.822126
-18.0,137,343.141228
-90.5,92,344.462018
-71.5,54,344.462072
-110.0,131,345.111421
-111.0,133,345.766962
-119.5,150,348.366945
-88.0,87,348.366999
-89.5,90,350.2726
-110.5,132,352.820437
-130.0,251,363.183299
-131.0,173,363.825479
-83.0,77,364.463721
-46.0,223,365.096544
-99.0,139,368.29887
-95.0,101,370.862664
-42.5,186,371.525538
-85.0,81,372.816957
-9.5,120,374.227944
-137.5,216,379.984281
-80.0,71,381.894354
-78.5,68,387.024765
-120.5,152,390.251536
-16.5,134,390.905214
-60.5,222,395.419772
11.0,79,396.073003
-145.0,251,396.717278
-145.0,251,399.283656
-51.5,204,404.447283
-89.0,89,405.754527
-114.0,169,405.754574
-2.5,106,406.401518
-70.0,241,408.428458
-4.0,109,414.925901
-59.0,219,416.230437
-145.0,251,416.230502
-76.0,63,422.785774
-65.0,231,427.374408
-75.5,62,427.374465
-98.0,107,432.554497
-15.5,132,435.779636
-73.5,58,437.084705
-145.0,251,438.396571
-117.5,146,439.058466
6.0,119,442.320727
-132.0,175,453.453412
-129.0,169,455.454001
-114.5,140,459.474359
-46.0,3,461.461902
-130.0,251,462.795712
-96.5,104,463.463441
-130.0,251,465.48518
-57.5,246,468.167262
-145.0,251,470.193254
-123.0,157,473.587904
-45.5,192,473.587956
-69.5,50,475.613335
-75.5,62,476.946427
-116.0,173,477.598146
-123.5,158,483.574177
-8.0,117,483.574229
-145.0,201,484.237566
-59.5,250,484.917411
-62.5,36,497.707844
-45.5,192,497.707907
-128.5,168,501.015064
-145.0,251,501.01512
-109.5,130,502.317785
-121.5,154,506.256999
-26.5,154,507.600821
-109.0,129,513.065251
-83.0,77,515.068395
-139.5,190,516.407211
-74.5,60,517.069619
-35.0,171,519.029609
-105.0,121,519.667306
-27.0,155,525.546677
-130.0,251,528.811356
-117.5,146,529.456955
-79.5,70,530.776995
-68.5,238,530.777046
-30.5,192,535.275584
-130.0,251,537.890482
-11.0,123,543.09108
-81.5,104,546.434638
-49.0,229,547.743007
-8.5,118,548.386975
-15.0,131,552.273267
-10.0,121,555.54675
-145.0,251,561.518533
-30.0,191,563.482219
-84.0,79,566.778059
-29.0,159,568.085577
-110.5,132,570.709758
-50.0,201,571.370873
-6.0,113,572.012436
-24.0,179,573.959156
-48.5,8,576.540587
-102.5,116,577.201273
12.0,107,577.849588
-145.0,251,580.424633
-83.0,77,581.077361
-145.0,251,581.730451
-49.5,10,583.038461
-77.5,66,589.619402
-145.0,251,592.949651
1.5,98,594.91714
-95.5,102,595.577382
-95.0,101,595.577433
3.5,94,596.876633
-70.5,52,597.548934
-156.0,223,600.817256
-91.5,94,604.766134
-28.0,157,609.372358
-35.0,171,610.04734
-116.0,143,610.735838
-123.5,158,619.87808
-122.5,156,621.155937
-122.5,156,627.725158
-88.5,88,629.727361
-50.0,201,633.039574
-145.0,251,633.710716
-48.0,227,634.352634
-106.5,124,636.987674
-95.5,102,637.638893
-145.0,251,638.918433
-16.0,133,639.570407
-130.0,251,648.606579
-101.0,113,651.211407
-32.5,166,656.490826
-105.0,121,660.427057
-110.5,132,664.394186
-145.0,251,667.061315
-92.0,95,672.314505
-145.0,251,677.499193
-106.5,124,678.152566
-71.0,243,678.819485
-28.0,157,686.055286
-111.5,164,688.037098
-124.0,159,693.999743
-32.0,195,695.99619
-44.5,190,698.631991
-94.5,100,699.290698
-110.5,162,701.229925
-145.0,251,702.536722
-95.0,101,703.192305
-13.0,157,703.84191
-167.5,246,709.754314
-100.0,141,712.409891
-91.5,94,713.077495
-0.5,132,714.385423
-27.0,185,719.071978
-12.0,125,721.708994
-64.0,39,724.387064
-33.0,197,725.05406
-145.0,251,726.376406
-27.5,186,727.033449
-169.5,250,730.958423
-163.5,238,738.226798
-127.0,165,742.88202
27.5,46,742.882083
-145.5,202,743.545004
-147.5,206,744.876578
-46.5,4,745.529671
-78.0,67,746.840722
6.0,89,746.840781
-107.5,126,747.508799
-45.5,2,748.808825
-115.5,142,750.117675
-117.5,176,753.389692
-117.0,145,756.001688
-130.0,251,757.94509
-66.5,44,759.893029
-145.0,251,760.541117
4.5,92,761.803185
-63.0,37,762.442977
-91.0,93,764.336376
-17.0,135,767.506507
-88.5,88,770.681096
28.0,45,773.896098
-123.5,158,775.830863
-24.5,150,776.488445
-98.5,138,784.186025
-90.5,92,784.836483
-145.0,251,785.48941
-71.0,243,788.707771
-153.0,217,790.630428
-22.0,145,793.882417
-145.0,251,797.132179
-9.0,119,801.770947
-170.0,251,803.087146
36.0,29,803.727102
-84.0,79,806.992552
-130.5,172,808.281141
-117.0,145,808.925955
-71.5,54,810.826645
-39.0,209,814.043831
-64.0,229,816.629364
-50.5,202,817.918083
-90.5,92,821.856273
-93.0,97,824.471669
-42.5,186,830.992353
-50.5,12,832.299862
-116.5,144,836.900244
-15.5,132,846.29111
-69.5,50,846.983448
-106.0,123,847.66562
-107.5,126,853.03444
-84.5,80,854.383124
-83.0,77,857.77022
-6.0,113,858.425194
-86.5,84,859.097449
-72.5,246,864.99085
-60.0,221,866.337899
-108.5,128,874.901117
-105.0,121,876.913013
-112.5,136,878.234044
-70.5,52,880.925114
-148.0,237,881.586611
1.0,99,883.596153
-145.0,251,883.596202
-150.5,212,885.602417
-135.0,211,891.613468
-130.0,251,891.613518
-25.0,151,893.617635
-146.5,204,893.617686
-47.5,226,896.918402
-14.5,130,896.918455
-65.0,41,902.492238
-80.5,72,906.193474
-62.5,36,906.193522
-130.0,251,908.333751
-119.5,150,909.057276
-74.5,250,910.424669
-54.0,209,912.463251
-130.0,251,912.463305
-145.0,251,915.905581
1.5,98,920.622355
-99.5,110,921.955934
-145.0,251,924.08637
-137.0,185,926.854083
-112.0,135,928.320674
-75.5,62,928.320722
-145.0,251,931.019538
-149.0,239,935.770549
-100.5,112,941.613625
-129.5,200,942.945991
-47.0,5,946.271945
-92.0,95,948.954949
-87.5,86,950.94029
-145.0,251,953.618001
4.5,92,956.940067
-117.0,145,965.063651
9.5,82,965.063752
5.5,90,969.779971
-106.0,123,975.788174
-60.0,221,980.540752
-155.0,221,981.891595
-145.0,251,985.896058
-145.0,251,991.291938
-130.5,172,993.993544
3.0,95,995.33853
-52.0,205,997.338644
-98.5,108,997.3387
-46.0,223,998.005646
-77.5,66,1014.228546
-97.5,106,1017.68402
-61.0,33,1020.447011
-53.5,208,1022.500694
-130.0,251,1023.19506
-39.0,179,1024.538015
-168.5,248,1027.216582
-141.0,193,1028.564956
-51.5,14,1029.900751
-91.5,94,1044.210755
-47.5,6,1048.302088
-130.0,251,1048.990562
-145.0,251,1054.454549
-33.5,198,1056.531773
-34.5,170,1056.531827
-66.0,43,1056.531836
-156.5,224,1064.692752
-145.0,251,1064.692824
-145.0,251,1068.025614
-97.0,105,1068.68353
-39.5,180,1070.649591
-124.5,160,1073.258914
-130.0,251,1076.53229
-130.0,251,1076.532342
-145.0,251,1080.465703
-130.0,251,1082.450278
-130.0,251,1085.808213
-93.5,98,1088.455683
-145.0,251,1090.428643
-130.0,251,1096.415831
-26.5,154,1097.765423
-145.0,251,1097.765491
-145.0,251,1097.7655
-77.0,65,1099.675678
-140.0,221,1099.675728
-12.0,125,1101.580538
-145.0,251,1104.81426
-55.5,22,1104.814312
-40.0,211,1106.757441
-50.0,11,1108.689332
-105.5,122,1111.310418
-82.0,75,1117.711573
-21.0,143,1119.620246
-145.0,251,1121.548731
-145.0,251,1124.796991
-124.0,159,1128.669721
-94.0,99,1129.321452
-48.5,198,1129.321507
-58.5,218,1131.275165
-54.0,19,1131.92771
4.5,92,1136.480982
-130.0,251,1143.047643
-145.0,251,1148.948341
-9.0,119,1150.911786
-111.0,133,1151.580299
-110.0,131,1153.559471
-55.5,212,1154.911065
-14.5,130,1155.554351
-145.0,251,1158.177638
-145.5,202,1162.145111
-130.0,251,1162.145179
-36.0,173,1162.799399
-95.0,101,1165.395362
-104.0,119,1166.052665
-3.0,107,1169.256543
-133.0,177,1170.555081
-103.0,117,1185.172302
-113.5,138,1186.492011
-92.0,95,1191.167006
-61.5,224,1195.880191
-127.0,165,1206.095679
-19.0,139,1209.46122
-87.0,85,1211.485171
-67.5,236,1212.164246
-131.5,174,1212.164297
-114.0,139,1213.517622
-3.0,107,1214.207113
-135.0,181,1216.827091
-145.0,251,1222.03918
-151.5,214,1226.627874
-132.5,176,1227.290287
-141.5,194,1234.446921
-24.0,149,1235.112687
-145.0,251,1241.732714
-130.0,251,1245.701345
-130.0,251,1247.696327
-155.0,221,1250.381123
-43.0,187,1255.061961
-125.0,161,1257.734712
-23.0,147,1263.102694
-85.5,82,1268.498325
-136.0,183,1270.511334
-130.0,251,1270.511414
-90.0,91,1273.903877
-105.5,122,1287.494405
-145.0,251,1291.605644
-134.0,209,1292.992392
-88.0,87,1293.66679
-130.0,251,1296.371862
-145.0,251,1296.371942
-130.0,251,1299.10453
-66.0,43,1299.780035
-96.0,103,1303.779442
-66.0,233,1307.103343
-153.5,218,1307.813082
-91.0,93,1310.482315
-53.0,237,1313.785392
-76.0,63,1316.462706
-145.0,251,1325.79909
-145.0,251,1329.856476
-145.0,251,1330.523306
-130.0,251,1333.837514
-130.0,251,1337.179915
-139.0,189,1338.509389
-145.0,251,1338.509445
-160.5,232,1340.484227
-145.0,251,1354.555449
-130.0,251,1359.323517
-126.5,164,1360.678038
-26.0,153,1360.678108
-46.0,3,1362.718221
-145.0,251,1364.085766
-80.0,71,1364.085816
-64.0,229,1365.418322
-50.0,11,1370.118516
-98.5,108,1371.46305
-94.0,99,1376.853481
-145.0,251,1377.52331
-125.5,162,1377.523385
-130.0,171,1378.19621
-106.0,123,1378.865708
-145.0,251,1379.523968
0.0,101,1381.502295
-161.0,233,1382.812529
-145.0,251,1384.829298
-145.0,251,1390.305104
-145.0,251,1395.526403
-75.0,61,1400.082746
-71.5,54,1400.082802
-164.5,240,1406.633216
-80.5,72,1408.619742
-145.0,251,1409.930002
-106.0,123,1411.903713
-47.0,225,1421.129667
-145.0,251,1423.142839
-92.5,96,1429.048052
-24.0,149,1429.71811
-44.5,220,1440.457007
-67.5,236,1445.197846
-47.0,225,1453.9597
-9.0,119,1456.683318
-145.0,251,1459.344208
-93.0,97,1460.029891
-145.0,251,1460.697275
-90.5,92,1461.376866
-130.0,251,1464.034579
-45.0,191,1464.698945
8.0,85,1466.660947
-145.0,251,1467.319066
-72.0,245,1470.592872
-106.0,123,1471.909356
-16.5,164,1473.219235
-130.0,251,1475.20148
-53.0,207,1476.518027
-120.0,151,1479.126572
-105.5,122,1481.119941
-119.5,150,1482.4634
-125.5,162,1487.002057
-130.0,251,1492.913491
-132.5,176,1494.229353
-145.0,251,1500.797605
-145.0,251,1505.39267
-130.0,251,1507.398323
-63.5,38,1519.766655
-145.0,251,1521.797333
-104.5,120,1525.165154
-145.0,251,1537.373766
-145.0,251,1538.751344
-46.0,193,1540.794237
-145.0,251,1544.167313
-36.0,173,1544.840742
10.5,110,1545.51501
-145.0,251,1545.515058
-145.0,251,1548.89587
-145.0,251,1552.246326
-101.0,113,1556.99847
-84.5,80,1561.657053
-8.0,147,1565.062562
-107.0,125,1566.407849
-113.0,137,1568.425489
-121.0,153,1573.081129
-130.0,251,1574.423894
-130.0,251,1576.462176
-83.5,78,1577.802053
-108.0,127,1578.475597
-66.0,233,1585.990966
-145.0,251,1589.390313
-145.0,251,1591.42029
-100.0,111,1594.768088
-36.0,173,1603.535667
-145.0,251,1609.002155
17.0,67,1611.930713
-5.0,111,1612.655968
-153.5,218,1622.536473
-145.0,251,1623.246528
-145.0,251,1625.985918
-145.0,251,1628.716795
-145.0,251,1629.382625
-145.0,251,1630.072684
-145.0,251,1630.732138
-111.5,134,1632.072902
-145.0,251,1633.421868
-145.0,251,1634.09919
-130.0,251,1636.771075
-145.0,251,1642.742376
-108.0,127,1643.420244
-75.0,61,1645.447718
-145.0,251,1648.758952
-109.0,129,1660.581883
-145.0,251,1670.684049
-145.0,251,1675.376802
-15.5,132,1680.75656
-89.0,89,1685.502262
-93.5,98,1688.872103
-145.0,251,1691.588502
-107.0,125,1696.329628
-130.0,251,1708.496969
-145.0,251,1713.897346
-145.0,251,1714.580404
-145.0,251,1715.267032
-130.0,251,1715.267088
-145.0,251,1718.605235
-130.0,251,1721.979954
-145.0,251,1731.402277
-145.0,251,1734.832579
-38.5,208,1735.501743
-145.0,251,1738.23856
-145.0,251,1744.273362
-130.0,251,1746.284611
-145.0,251,1747.612079
-145.0,251,1748.279459
-131.5,174,1750.907641
-130.0,251,1755.519647
-97.5,106,1756.851126
-145.0,251,1758.813211
-156.5,224,1760.126245
0.0,101,1764.029002
-20.0,141,1765.31302
-34.0,199,1766.61696
-91.5,94,1777.09796
-145.0,251,1781.073354
-91.0,93,1783.725248
-82.0,75,1787.761519
-145.0,251,1790.428515
-43.5,218,1794.473714
-130.0,251,1796.494656
-145.0,251,1797.173339
-145.0,251,1797.851688
-85.5,82,1798.524695
-130.0,251,1798.524754
-145.0,251,1799.854308
-145.0,251,1804.563227
-131.0,173,1804.563278
-19.0,139,1806.519515
-84.5,80,1809.824962
-145.0,251,1810.47968
-145.0,251,1811.144483
-102.0,115,1811.812359
-145.0,251,1813.116001
-20.5,142,1813.116056
-87.0,85,1820.229379
-77.5,66,1820.891095
-145.0,251,1828.076298
-95.5,102,1834.004992
-130.0,251,1842.740423
-145.0,251,1848.151024
-90.0,91,1848.151081
-170.0,251,1859.008194
-26.0,153,1860.371618
-97.0,105,1864.423145
-130.0,251,1875.927144
-104.0,119,1875.927199
-104.0,119,1877.945372
-94.0,99,1879.306786
-130.0,251,1882.701651
-145.0,251,1882.701724
-78.0,67,1888.024808
-118.0,147,1896.791724
-145.0,251,1898.81967
-74.5,60,1900.827944
-130.0,251,1902.156214
-155.5,222,1903.509615
-50.5,12,1906.858698
-53.5,18,1908.847486
-72.5,246,1910.174201
-145.0,251,1914.826163
-130.0,251,1915.489114
-145.0,251,1918.179161
-70.5,242,1926.830617
-145.0,251,1927.489496
-28.5,158,1940.308791
-93.5,98,1941.643178
-146.0,203,1945.680343
-130.0,251,1949.000933
-145.0,251,1951.695059
-58.0,217,1957.109418
-87.5,86,1958.450654
-145.0,251,1958.450724
-145.0,251,1965.114233
-130.0,251,1965.781036
-145.0,251,1967.775642
-76.5,64,1970.460142
-145.0,251,1972.484204
-145.0,251,1972.484262
-88.5,88,1973.829336
-138.5,188,1974.510885
-145.0,251,1974.510937
-145.0,251,1978.500975
-130.0,251,1979.174007
-145.0,251,1981.153496
-119.0,149,1982.504621
-130.0,251,1988.430026
-145.0,251,1989.094887
-110.5,132,1990.413651
-72.5,56,1995.725949
-130.0,251,1996.408167
-49.0,9,1996.408255
-109.0,129,2004.472601
-83.0,77,2009.838556
-92.5,96,2009.838638
-145.0,251,2016.553917
15.5,70,2020.611758
-76.5,64,2021.978942
-57.0,25,2026.705073
-145.0,251,2027.363825
-37.5,176,2028.031464
-145.0,251,2032.746987
-80.5,72,2036.788523
-145.0,251,2044.233688
-130.0,251,2046.282155
-145.0,251,2047.660368
-145.0,251,2051.091419
-103.0,117,2051.091472
-91.0,93,2051.778793
-151.0,213,2051.778846
-51.5,14,2053.770285
-145.0,251,2056.459975
-49.5,10,2057.791953
-37.5,206,2065.187901
-110.0,131,2069.20919
-119.0,149,2070.573099
-145.0,251,2071.911091
-145.0,251,2075.238503
-32.0,165,2083.30073
-145.0,251,2083.982061
-110.5,132,2085.324606
-127.5,166,2086.006857
-49.0,199,2090.646488
-139.5,190,2092.6374
-93.5,98,2092.637484
-136.5,184,2106.082577
-145.0,251,2108.782729
-145.0,251,2110.115963
-86.5,84,2110.116022
-153.5,218,2112.145013
-145.0,251,2117.507548
-117.5,146,2118.869041
-145.0,251,2120.229038
-101.5,114,2128.271056
-152.5,246,2132.929897
-95.0,101,2136.992002
-145.0,251,2142.986744
-145.0,251,2146.968455
-77.5,66,2153.019081
-153.5,218,2156.37399
-7.5,116,2161.684897
-110.5,132,2163.692981
-130.0,251,2164.384793
-145.0,251,2165.052549
-50.0,11,2171.022844
-145.0,251,2173.053894
-145.0,251,2184.985299
-145.0,251,2190.286585
-130.0,251,2195.630725
-145.0,251,2196.303888
-145.0,251,2200.980091
-38.0,207,2203.656613
-130.0,251,2204.995613
-145.0,251,2214.309997
-145.0,251,2215.640332
-105.5,122,2218.295359
-145.0,251,2218.952944
-145.0,251,2219.61668
-145.0,251,2224.20042
-145.0,251,2225.521302
-145.0,251,2238.247335
-145.0,251,2239.583961
-130.0,251,2250.993749
-145.0,251,2253.02325
-145.0,251,2253.703643
-145.0,251,2258.444694
-145.0,251,2260.487155
-130.0,251,2260.487206
-77.5,66,2263.210158
-119.5,150,2271.399972
-145.0,251,2274.103402
-80.5,72,2274.103462
-145.0,251,2278.156695
-145.0,251,2278.156767
-145.0,251,2280.158413
-145.0,251,2285.549301
-130.0,251,2286.918643
-130.0,251,2288.264219
-122.0,155,2288.954008
-83.5,78,2292.27598
-70.5,52,2293.632306
-145.0,251,2296.298844
-145.0,251,2300.932289
-145.0,251,2310.972212
-65.0,231,2310.972272
-130.0,251,2315.009022
-89.5,90,2321.120705
-145.0,251,2321.12079
-145.0,251,2329.839709
-130.0,251,2332.520067
-130.0,251,2333.188937
-89.0,89,2337.823362
-145.0,251,2341.216894
-142.0,195,2345.310105
-145.0,251,2358.869506
-29.5,160,2361.630003
-145.0,251,2364.33738
-145.0,251,2365.040143
-86.5,114,2365.040201
-145.0,251,2369.804704
-36.5,174,2370.483574
-145.0,251,2372.519634
-145.0,251,2373.880906
-90.5,92,2377.235769
-121.5,154,2377.900121
5.0,91,2382.550782
-145.0,251,2384.526271
-145.0,251,2387.192401
-145.0,251,2388.526332
-114.5,140,2390.517601
-39.5,210,2392.466973
-145.0,251,2393.108977
-75.5,62,2403.060649
-99.0,109,2406.451028
-72.5,56,2407.120947
-145.0,251,2407.121001
-127.5,166,2422.519156
-105.5,122,2423.184124
-86.5,84,2428.593265
-145.0,251,2429.275647
-126.5,164,2431.276212
-145.0,251,2431.953993
-96.5,104,2434.5977
-130.0,251,2439.866292
-130.0,251,2442.527943
-130.0,251,2446.538994
-106.0,123,2447.197158
-145.0,251,2448.546033
-145.0,251,2453.841439
-145.0,251,2455.190619
-103.0,117,2455.847671
-145.0,251,2457.167601
-145.0,251,2460.465005
-145.0,251,2461.780892
-145.0,251,2469.206023
-102.0,115,2469.206081
-93.5,98,2472.553234
-109.0,129,2473.226224
-142.0,195,2475.892303
-110.5,132,2478.568065
-145.0,251,2479.230418
-101.0,113,2481.850058
-138.5,188,2484.475794
-66.0,233,2485.78761
-98.5,108,2495.052576
-86.5,84,2498.408576
-145.0,251,2500.378121
-145.0,251,2505.685774
-98.5,108,2511.61062
-145.0,251,2531.725197
-122.5,156,2532.421059
-81.0,73,2533.095994
-130.0,251,2537.83365
-94.0,99,2538.520928
-145.0,251,2541.209203
-128.5,168,2541.209259
-76.5,64,2543.214595
-145.0,251,2544.556117
-149.0,209,2546.546016
-145.0,251,2549.802055
-145.0,251,2551.762363
-130.0,251,2555.716795
-87.5,86,2555.716847
-145.0,251,2560.225832
-107.0,125,2562.15002
-124.0,159,2567.407312
-145.0,251,2570.047302
-21.0,173,2570.714466
-42.0,215,2574.624593
-122.5,156,2576.612824
-22.0,145,2577.957781
-99.0,109,2577.957832
-145.0,251,2589.048798
-90.0,121,2591.700537
-149.5,210,2593.020148
-145.0,251,2597.714176
-90.5,92,2599.031473
-130.0,251,2601.006782
-97.0,105,2601.665556
-145.0,251,2612.827793
-145.0,251,2613.490652
-145.0,251,2614.799546
-82.5,76,2620.76792
-145.0,251,2621.424136
-130.0,251,2623.422808
-130.0,251,2626.669317
-130.0,251,2635.261783
-145.0,251,2635.261905
-145.0,251,2641.878352
-145.0,251,2644.524089
-80.5,72,2645.210704
-80.5,72,2646.554621
-133.5,178,2649.171508
-130.0,251,2651.840639
-103.5,118,2654.487006
-145.0,251,2661.081918
-67.5,46,2665.624446
-55.0,21,2668.235924
-20.5,172,2668.875813
-70.0,51,2675.460766
-29.0,159,2682.666581
-40.5,212,2685.947447
-82.5,76,2696.486592
-145.0,251,2698.503668
-145.0,251,2703.14661
-145.0,251,2706.493026
-145.0,251,2706.493079
-145.0,251,2708.461805
-145.0,251,2709.760201
-60.5,222,2713.694432
-145.0,251,2715.01518
-145.0,251,2716.974987
-145.0,251,2720.880851
-61.5,34,2720.8809
-105.5,122,2725.410134
-145.0,251,2725.410186
-145.0,251,2727.339118
-90.5,92,2728.637321
-80.5,72,2729.90589
-133.5,178,2731.825421
-130.0,251,2735.011801
-145.0,251,2739.522203
-118.0,147,2740.810461
-130.0,251,2742.736555
-73.5,58,2744.016693
-145.0,251,2753.625229
-145.0,251,2756.240695
-74.5,250,2756.904709
-69.5,50,2760.872009
-145.0,251,2765.511955
-145.0,251,2766.169766
-73.0,57,2768.771112
-88.5,88,2772.024683
-113.0,137,2775.298572
-145.0,251,2777.260892
-130.0,251,2777.912782
-145.0,251,2785.053577
-145.0,251,2785.705674
-145.0,251,2787.668603
-145.0,251,2790.984873
-99.5,110,2792.307608
-145.0,251,2799.538845
-129.5,200,2806.178612
-127.0,165,2810.807778
-82.5,76,2810.807827
-145.0,251,2813.445442
-64.0,39,2813.445506
-104.5,120,2813.445516
-145.0,251,2816.073081
-129.5,170,2819.360798
-116.5,144,2823.989606
-130.0,251,2825.312111
-145.0,251,2829.944055
-133.5,178,2829.944124
-86.0,83,2829.944134
-145.0,251,2833.255024
-91.5,94,2833.910145
-81.5,74,2834.572167
-110.0,131,2842.396641
-47.5,196,2849.014684
-138.5,188,2850.367356
-90.0,91,2852.377104
-86.5,84,2855.013699
-99.0,109,2857.033004
-133.0,177,2859.001508
-130.0,251,2861.017901
-85.5,82,2870.384533
-145.0,251,2871.058687
-74.0,59,2873.729594
-130.0,251,2874.402707
-151.0,213,2881.085552
-96.0,103,2881.759694
-145.0,251,2881.759749
-124.5,160,2883.754982
-104.5,120,2885.757986
-71.0,53,2885.758035
-130.0,251,2890.333585
-60.0,251,2890.333642
-131.0,173,2891.640353
-47.0,195,2894.229248
-145.0,251,2904.674145
-145.0,251,2909.26438
-87.5,86,2917.985288
-145.0,251,2919.320727
-145.0,251,2922.693235
-77.5,66,2924.694158
-87.5,86,2930.693652
-145.0,251,2932.025369
-106.0,123,2934.008964
-145.0,251,2934.693657
-89.0,89,2949.366724
-90.0,91,2952.085869
-145.0,251,2957.498181
-103.0,117,2959.539138
-123.0,157,2959.539189
-39.5,180,2962.173919
-145.0,251,2977.528982
-145.0,251,2977.529065
-57.5,216,2977.529074
-130.0,251,2980.166563
-145.0,251,2980.166615
-95.0,101,2985.433914
-145.0,251,2986.088069
-145.0,251,2990.684712
-145.0,251,2992.022878
-130.0,251,2996.667159
-130.0,251,2996.667217
-130.0,251,2996.667225
-56.5,214,2999.30117
-145.0,251,2999.963466
-51.5,14,2999.963518
-103.0,117,3011.718349
-145.0,251,3015.694278
-74.0,59,3019.033906
-76.5,64,3019.693408
-145.0,251,3025.60159
-46.5,224,3034.276315
-145.0,251,3036.988244
