#{"t_start": 1777519582.930414, "env_id": "None"}
r,l,t
-48.0,7,5.678321
-50.5,12,6.784159
-73.5,58,17.217961
-75.5,62,18.314104
-77.0,65,19.118799
-48.5,8,19.381295
-75.5,62,20.178115
-80.0,71,20.707446
-80.5,72,20.973196
-83.5,78,22.503688
-86.5,84,24.014018
7.0,87,24.771973
4.0,93,26.266291
3.5,94,26.514407
3.5,94,26.514457
-86.0,83,26.775377
-95.5,102,28.855471
4.5,122,42.226396
-108.5,128,46.323103
-76.5,64,46.9983
-15.5,132,49.005141
-110.5,132,49.005219
-113.0,137,52.396439
-113.0,137,52.396493
-19.5,140,54.347861
-21.0,143,56.327833
17.0,67,57.628922
-79.0,69,62.961652
-90.5,92,66.2502
-88.0,87,66.917417
-127.5,166,71.435505
-69.5,50,75.59602
-98.0,107,78.219574
-90.5,92,84.286129
-122.5,186,84.959823
-124.0,189,86.955482
-1.5,134,91.550499
-48.0,197,92.216135
-71.5,54,93.521921
-147.0,205,97.466236
-97.0,105,98.793528
-53.5,208,99.446272
-103.0,117,101.374246
13.0,75,102.018662
8.5,84,104.73217
-58.5,218,106.020696
-156.5,224,109.869699
-97.0,105,116.489601
-148.0,237,118.473124
-85.5,82,120.441347
-72.0,245,123.710226
-59.0,249,126.463734
-65.0,41,126.463792
-27.0,155,126.463801
-130.0,251,127.784746
-130.0,251,127.784791
-145.0,251,127.784799
-130.0,251,127.784805
-130.0,251,127.784814
-145.0,251,127.784819
-145.0,251,127.784824
9.0,83,132.888073
-113.0,137,144.431167
-143.5,198,149.74328
-29.0,159,160.893897
-16.5,134,163.545155
-134.5,180,167.535301
-88.5,88,167.535369
-46.5,224,172.165482
-74.0,249,172.829356
-88.5,88,174.150897
18.0,65,175.478585
-128.0,167,176.793859
-111.0,133,178.744234
-84.5,80,178.744293
-105.5,122,182.111452
-14.5,130,182.752013
-112.5,136,182.752069
-40.0,211,185.341036
-47.5,6,185.974263
-91.5,94,189.221356
-56.0,213,192.439059
-1.5,134,193.748429
-3.5,108,196.977167
-53.5,18,197.631032
-20.5,172,199.593626
-5.0,111,200.255106
-39.5,180,202.816921
-35.5,202,204.128293
-18.0,137,208.13124
-139.5,190,208.787274
-69.5,50,215.233991
-20.0,141,219.828077
-85.0,81,220.468626
-44.5,190,225.683793
-145.0,251,227.6546
-36.5,204,232.254923
-95.0,101,233.575994
-59.5,220,236.249319
-7.0,115,236.249372
-112.0,135,238.234156
-74.5,60,239.56139
15.0,71,240.218174
16.0,69,242.884895
-91.0,93,246.159518
-30.5,162,250.87581
-4.5,110,250.8759
-44.0,189,251.54879
-140.0,191,251.548838
-100.0,111,251.548847
-90.0,91,252.189878
-140.5,192,253.468837
-46.0,193,254.112057
14.5,72,256.077726
-50.5,202,256.077779
-103.0,117,259.28383
-118.0,147,259.922746
-57.0,245,264.964227
-84.0,79,266.90783
-92.0,95,270.073091
-64.5,40,271.989381
13.5,74,273.916218
-4.0,109,275.201653
-26.5,154,277.168159
-102.0,115,277.814402
-130.0,251,284.333864
-82.0,75,291.415398
-145.0,251,291.415455
-75.5,62,291.415465
6.0,89,295.978574
-90.5,92,295.978626
-105.0,121,299.239169
-125.0,161,301.814717
-99.5,110,303.912778
-144.0,199,305.223711
11.5,78,306.541308
-95.5,102,306.541358
-148.0,207,307.818304
-85.5,82,309.100981
-16.0,133,314.311317
-78.5,68,314.311381
-87.0,85,320.017803
-50.0,11,321.378541
-57.5,26,323.289628
-130.0,251,335.821327
