#{"t_start": 1776591530.9138653, "env_id": "None"}
r,l,t
-140.0,41,6.941904
-600.0,600,30.083399
-600.0,600,30.083478
-600.0,600,30.083486
-600.0,600,30.083492
-600.0,600,30.083497
-600.0,600,30.083502
-600.0,600,30.083507
-600.0,600,56.988519
-353.0,254,209.363344
-480.0,381,328.613516
-695.0,596,439.701722
-600.0,600,442.26769
-600.0,600,442.267757
-600.0,600,442.267766
-600.0,600,442.267773
-600.0,600,442.267779
-600.0,600,621.805868
-600.0,600,754.501774
-625.0,526,827.388256
-600.0,600,876.593315
-600.0,600,879.412069
-600.0,600,879.412117
-600.0,600,879.412127
-600.0,600,879.412133
-320.0,221,983.33898
-600.0,600,1057.841664
-217.0,118,1065.327809
-600.0,600,1177.449108
-126.0,27,1196.229333
-600.0,600,1301.331961
-600.0,600,1304.149742
-600.0,600,1304.149793
-600.0,600,1304.149802
-600.0,600,1304.149809
-600.0,600,1483.207684
-600.0,600,1491.310416
-600.0,600,1621.475038
-688.0,589,1720.32316
-600.0,600,1725.43198
-600.0,600,1728.520918
-600.0,600,1728.520976
-600.0,600,1728.520986
-334.0,235,1899.364703
-600.0,600,1912.673706
-600.0,600,1920.370569
-146.0,47,1931.943732
-600.0,600,2047.251599
-405.0,306,2142.79793
-600.0,600,2143.486167
-438.0,339,2146.29231
-600.0,600,2148.357435
-600.0,600,2151.333738
-600.0,600,2151.333803
-600.0,600,2334.101565
-600.0,600,2461.330943
-600.0,600,2557.757977
-600.0,600,2558.4671
-600.0,600,2561.333631
-600.0,600,2563.419413
-600.0,600,2566.263118
-600.0,600,2566.263179
-112.0,13,2575.29741
-600.0,600,2749.21749
-600.0,600,2876.639318
-600.0,600,2972.666001
-600.0,600,2973.341595
-600.0,600,2976.209259
-600.0,600,2978.48084
-600.0,600,2981.332447
-103.0,4,2984.020765
-600.0,600,2990.081137
-184.0,85,3032.141869
-600.0,600,3372.334352
-600.0,600,3499.917007
-600.0,600,3597.2104
-600.0,600,3600.10383
-600.0,600,3602.175643
-600.0,600,3607.74613
-600.0,600,3614.075637
-600.0,600,3656.007603
-600.0,600,3789.769922
-395.0,296,3814.060137
-600.0,600,3917.18739
-600.0,600,4018.777253
-600.0,600,4022.042653
-600.0,600,4024.483859
-102.0,3,4026.951935
-600.0,600,4038.095913
-600.0,600,4082.486258
-600.0,600,4219.291182
-600.0,600,4244.101348
-600.0,600,4348.803231
-372.0,273,4410.473433
-600.0,600,4445.562214
-600.0,600,4448.309932
-600.0,600,4452.545687
-600.0,600,4462.203013
-600.0,600,4504.301803
-296.0,197,4598.963405
-600.0,600,4661.092926
-600.0,600,4764.869223
-600.0,600,4828.024118
-600.0,600,4864.129005
-600.0,600,4867.130424
-600.0,600,4871.363923
-600.0,600,4923.298957
-600.0,600,5020.83803
-346.0,247,5039.130673
-600.0,600,5083.890011
-547.0,448,5147.596376
-600.0,600,5193.269729
-257.0,158,5260.203125
-600.0,600,5294.91161
-600.0,600,5299.243769
-600.0,600,5351.924435
-293.0,194,5398.081068
-127.0,28,5417.494758
-600.0,600,5448.290185
-600.0,600,5466.691495
-600.0,600,5511.329593
-600.0,600,5616.304073
-600.0,600,5718.215433
-600.0,600,5722.540192
-600.0,600,5775.073806
-600.0,600,5841.131713
-600.0,600,5872.788773
-600.0,600,5891.004309
-600.0,600,5936.986557
-600.0,600,6045.348713
-600.0,600,6158.870024
-600.0,600,6163.55477
-600.0,600,6215.202599
-600.0,600,6275.468209
-600.0,600,6306.391501
-600.0,600,6324.955823
-600.0,600,6369.361426
-600.0,600,6480.306387
-600.0,600,6580.914223
-600.0,600,6585.250665
-600.0,600,6637.790257
-600.0,600,6706.31294
-600.0,600,6734.403463
-600.0,600,6750.730182
-600.0,600,6796.105447
-600.0,600,7114.501731
-600.0,600,7225.736877
-600.0,600,7229.726187
-600.0,600,7282.063511
-600.0,600,7350.326623
-600.0,600,7379.814839
-600.0,600,7397.412333
-104.0,5,7400.699196
-600.0,600,7440.19242
-600.0,600,7550.856226
-600.0,600,7643.65355
-600.0,600,7647.612091
-600.0,600,7696.936033
-600.0,600,7758.723407
-600.0,600,7787.401908
-600.0,600,7806.916792
-600.0,600,7845.935358
