#{"t_start": 1777944948.5764549, "env_id": "None"}
r,l,t
-74.586334,201,422.379627
-145.30365,180,426.493307
72.77048,68,429.93758
14.656639,207,431.335781
180.5098,250,432.02627
106.5448,224,440.956101
-14.442635,241,441.658243
-108.46503,69,447.150307
-117.28723,39,447.840143
116.996216,78,447.840194
-140.27237,86,448.512593
228.84625,263,449.912288
-89.637115,5,451.310254
141.09212,166,453.38432
-233.01353,71,456.138083
-133.64073,56,456.812759
136.43239,197,461.533746
-94.94888,75,462.205948
-150.52962,41,468.919921
-59.433693,206,470.934408
-65.30796,213,473.612551
-164.88795,166,474.962326
103.64583,105,475.623569
145.92422,157,477.62282
-177.27142,44,480.946362
-40.025314,274,481.621523
251.1813,320,481.621578
86.449974,346,485.624062
216.44818,217,486.295376
37.24642,260,486.295446
149.3029,181,493.007093
144.24203,156,508.837415
101.330055,131,511.596631
-107.32936,100,515.770981
-133.1748,126,515.771057
-176.31592,84,518.515938
-126.64552,67,519.205178
146.7122,109,522.635542
193.22435,241,524.015185
-160.44351,46,524.704496
-129.96733,64,524.704552
151.4814,342,526.748997
-220.17517,127,528.093705
-303.0512,141,528.093762
-160.01764,113,532.734086
-97.49942,157,533.400202
106.03858,358,533.40026
-89.232414,121,535.382467
-112.92625,119,537.331915
114.545334,79,539.914173
-26.776672,207,543.185042
-108.90788,105,545.778296
-103.18484,9,551.689747
-529.3793,271,557.783341
126.440994,109,559.826461
-80.11211,126,560.522615
-92.07322,5,561.192766
-15.692162,221,563.240288
74.36563,364,563.240343
-1.2728424,257,564.610074
-100.331726,11,567.959395
-29.172108,225,572.044264
-181.94662,85,572.715523
150.81305,153,574.068122
258.31845,358,574.739205
-137.63539,157,583.469117
-105.511086,265,589.563723
85.82711,89,592.955804
127.80589,161,594.340246
-123.15476,17,595.040236
-139.56242,113,603.969132
62.666485,213,606.049433
178.73978,235,608.834749
115.07513,131,610.939003
-93.934,6,613.013224
129.01892,125,617.210681
-93.17632,124,617.210737
80.52991,134,618.600519
108.8917,103,622.104681
-115.33923,164,622.809595
-178.91403,49,623.519248
122.02229,134,626.34084
-158.8118,147,626.340889
143.85728,215,627.730686
-106.20706,101,630.506563
-92.790474,164,630.506645
-162.03897,240,631.873096
59.55374,276,634.618572
-355.308,225,634.618634
228.26453,308,640.731214
-134.42308,107,641.417769
4.875389,108,646.127569
140.91078,187,651.654109
-180.12814,117,655.164854
-293.27948,125,658.724849
-192.02142,209,666.60849
45.388214,209,667.345869
-158.86237,72,667.345922
-91.3129,66,672.280207
89.1563,194,672.983708
-175.79678,76,675.069685
-135.64062,119,677.167134
-140.37982,72,680.704167
-134.54254,33,682.089869
-106.70802,24,684.155877
-90.60233,6,684.859956
-129.69029,85,685.550953
53.627083,114,685.551011
-97.287994,7,686.92924
-116.97882,82,691.788851
135.71954,144,693.192737
-78.972946,134,704.377476
-317.45197,120,707.22637
-125.49521,111,712.196581
128.50386,215,713.61907
-76.018654,292,719.346987
-112.45695,135,725.056978
-142.55391,58,725.057052
-120.52222,248,732.038627
-206.16318,163,736.939228
73.09553,76,740.44317
174.27844,286,741.148367
-134.20016,109,743.956237
-21.155128,344,746.080526
-92.45778,8,746.080608
99.07786,78,748.194909
-247.13834,172,748.194961
87.71146,194,754.440161
101.27139,164,756.526192
55.53849,180,757.918776
-104.37479,269,761.373492
13.092026,241,763.476073
-228.59735,300,771.896659
251.11473,373,773.304509
117.71672,142,774.693547
124.16347,128,781.670893
-169.182,42,783.77723
-175.18753,210,788.001473
-35.125557,334,795.811979
-129.2832,376,797.97217
-152.12457,135,799.392358
-322.46844,214,802.215398
-115.656784,188,805.052888
42.928215,140,805.766343
-159.36096,201,813.554834
-205.53339,167,837.053036
114.92161,134,840.656785
-91.062416,5,844.228276
42.555305,342,858.028676
13.831871,186,878.485682
122.3874,199,878.485794
81.285126,174,882.174025
110.60492,212,882.904036
124.949066,241,883.641995
-176.43256,119,885.100031
-168.64473,167,894.517771
57.236977,342,898.108707
-151.00116,314,908.841491
-82.70013,444,927.835995
7.203682,198,957.25415
102.13542,399,962.359414
-5.445053,242,971.198607
104.74999,278,1324.602133
143.33952,350,1349.106339
109.56943,185,1360.239586
-397.24103,600,1372.795963
-76.15286,600,1417.844467
120.56996,512,1423.807745
162.83183,461,1438.578914
-357.12967,232,1438.578971
-101.53539,600,1439.315647
33.147217,337,1445.128166
-78.60384,600,1458.269202
-572.9075,600,1459.006187
-685.7266,600,1499.826398
-147.71974,600,1499.826451
-489.79514,600,1516.527381
-571.1091,600,1519.423909
-49.536182,600,1523.768831
-68.55897,600,1523.768886
-130.1195,600,1537.471427
-901.8808,600,1548.261654
-229.59712,600,1549.705658
-97.9829,600,1558.324744
-137.86195,600,1564.830497
-95.803024,600,1574.853802
-119.32939,600,1579.137148
-84.15592,600,1581.976055
-54.835094,600,1582.679392
-75.29147,600,1614.038011
-80.0,1,1614.764699
-89.570625,600,1621.267644
-344.8586,543,1644.217792
-184.70413,564,1644.939488
-107.49318,11,1652.85365
-148.78209,600,1655.013431
-119.771805,600,1655.013486
-111.796104,600,1658.549746
-50.42459,600,1659.261226
-426.4659,600,1659.982124
-131.70789,144,1667.723067
-85.04196,600,1674.113049
-205.94107,350,1690.409047
-571.4432,600,1732.242318
-186.26294,114,1736.646862
-147.85411,600,1737.37385
-289.24863,100,1739.529127
-52.177784,600,1745.992718
-131.47401,124,1748.162236
-106.10672,600,1759.602234
-252.5317,100,1762.400649
-120.317665,600,1783.142509
-7.5614495,600,1794.022481
-186.35529,351,1801.281418
-131.30133,600,1806.272484
-232.81004,205,1806.999748
-36.87825,256,1842.750975
-133.46185,600,1850.832509
-275.5229,600,1856.694238
-142.72469,600,1871.363477
-328.3886,600,1872.10248
-186.3295,179,1875.756607
-131.26501,600,1877.95507
-264.4544,510,1891.016688
20.323355,600,1891.016747
-18.372345,600,1891.738202
-196.20088,469,1912.587265
-34.84185,248,1916.959184
-147.78746,600,1932.176499
-316.32074,600,1932.176593
-82.572556,2,1933.630755
-102.52265,600,1948.746005
-109.75902,600,1951.675512
-130.87979,85,1953.124653
-462.17297,577,1953.124711
-144.3751,133,1953.124722
-132.51114,600,1955.965937
-95.89389,30,1970.375741
-21.13298,600,1980.447115
-251.97772,96,1981.879411
-81.51187,600,1990.528555
-247.9109,139,1991.257768
-137.49355,57,2011.425041
-167.69066,600,2011.425093
-257.99277,600,2014.271788
-176.82802,600,2014.991443
11.392533,567,2023.553334
