#{"t_start": 1777944948.5764549, "env_id": "None"}
r,l,t
-206.8411,60,17.94292
-87.03913,74,22.144899
108.012024,79,23.659643
-105.39586,80,23.965851
119.48918,82,24.577252
-110.594894,83,24.86884
-155.70844,84,25.162597
-137.74846,87,26.030999
-183.84213,87,26.031055
-93.34761,88,26.314568
-134.96942,93,27.667267
101.28567,96,28.456188
-111.760826,100,29.51742
-88.0885,102,30.038902
-131.04124,104,30.59439
-181.76086,109,31.924266
-146.91895,115,33.530845
97.47532,121,35.19562
-136.75772,44,35.748242
144.6625,128,37.148082
-106.85019,129,37.43577
-129.35162,133,38.545121
-205.63408,59,38.545185
-143.59717,134,38.827168
-165.69,143,41.241399
-129.21884,144,41.517032
112.14824,62,42.858325
-111.62402,95,46.079975
-29.347855,159,48.748957
69.30272,165,52.746861
-145.81094,82,53.426744
-179.70203,75,54.771595
89.49395,171,56.753989
143.98853,187,67.456471
130.32553,111,71.505446
78.02936,196,73.55739
-162.50293,57,76.291989
-81.1254,109,98.117547
95.48996,237,101.586623
-3.994751,241,104.383464
140.97766,141,105.767041
105.350334,251,111.272796
177.1803,253,112.629034
-145.46649,89,113.310364
-4.3121567,117,118.139942
-67.11903,184,122.254218
-98.80364,116,124.990689
150.30702,183,124.990746
93.994354,168,129.056302
147.6853,163,129.740196
-181.75423,178,129.740263
-13.52803,279,130.418057
206.2605,281,131.786027
18.446487,284,133.833731
-114.56209,151,133.833784
231.91396,287,135.855536
-139.01723,123,140.59239
-74.68713,164,142.636127
-233.47508,218,143.297676
23.649529,300,144.622363
-60.03573,303,146.658461
-95.58951,175,147.320476
-174.80327,202,148.688522
113.30373,117,156.052722
82.11986,190,156.74933
-53.997513,186,158.088549
-143.3197,171,158.08861
-51.764557,128,160.708616
135.5201,132,161.370341
-68.513916,159,162.69054
94.20438,95,165.976479
-176.77885,61,169.966631
-88.6896,95,169.966687
-136.43292,23,173.273065
174.04794,186,174.610959
-150.21896,79,177.970118
-130.8167,70,180.639821
209.61832,355,181.308794
194.96094,237,183.326782
84.99115,198,187.34419
103.581856,88,188.722263
116.61894,118,190.750829
-95.98618,130,192.121717
116.28706,275,192.121771
-227.47023,94,196.795613
-88.91639,111,196.795704
-222.98816,80,198.14052
-128.7017,127,198.140575
118.31868,98,201.435242
-80.41863,132,202.08593
239.27565,307,207.379614
105.925095,99,213.423017
-121.84262,107,214.105168
-57.583202,147,216.838746
173.57474,190,226.36614
-103.00931,73,227.058478
115.22636,116,239.336266
136.13193,168,242.786312
125.849915,132,249.721078
41.162685,276,254.609319
-147.11856,80,256.014261
-167.83658,93,261.589492
-82.24108,88,262.279866
-193.18906,98,263.670802
97.47872,98,265.052761
-214.79099,78,270.617846
-211.9497,84,271.308649
-78.51135,116,271.308733
181.99951,210,272.685896
123.9458,172,274.743097
166.68208,189,274.743148
-111.58544,197,276.772171
-56.471817,153,277.469398
140.12752,158,277.469452
51.399952,153,285.49479
-174.16165,67,285.494857
206.29912,240,287.531094
96.563446,108,288.21149
-152.53152,92,289.540931
-103.93549,23,290.186863
-120.50699,193,293.470309
-2.2211914,168,294.793304
123.0796,162,297.429413
-550.6403,221,298.0813
-111.30836,27,303.29809
117.401405,173,305.993036
78.22289,262,308.644383
126.165955,251,309.985177
158.7052,180,312.649673
127.85691,130,315.37244
-106.71768,69,320.851415
-173.40921,104,326.337869
-162.1926,226,327.732429
-128.44154,87,329.747095
206.08246,244,331.104705
183.01364,187,334.457131
105.01536,108,337.856866
-27.922672,270,339.221429
-96.64035,227,346.092954
-182.65976,128,348.840873
113.67066,74,356.400191
194.38567,300,359.153709
183.85184,242,361.18822
-120.25011,145,369.438786
-104.38167,84,370.136827
-186.03198,127,373.525562
134.75764,189,383.071653
116.02449,165,389.295729
-294.04263,117,389.978497
-191.01372,179,394.156956
249.69478,338,399.6671
-100.05095,119,402.437884
133.24942,154,402.437936
-105.69818,236,403.799854
-110.69501,85,407.226078
96.49451,164,409.994687
-127.803894,111,410.694832
68.06861,98,413.418171
94.82216,208,418.261432
118.812836,92,419.632565
143.08817,349,421.028203
